data_id,city_name,country_id,year,population,human_development_index,mobility_index,air_quality_index,energy_consumption_index,education_index,school_life_expectancy,healthcare_index,life_expectancy,income_inequality_index,employment_rate,governance_index,safety_index,internet_quality_index,city_development_index
C1_2014,Aba,NGA,2014-2015,918263,55.93,69.44,48.15,88.33,55.74,8,70.94,56,41.11,55.64,65.10,49.82,52.02,59.63
C2_2014,Abidjan,CIV,2014-2015,4410752,50.53,45.58,66.18,54.25,43.97,7,62.11,63,45.52,57.53,59.60,60.71,50.24,54.57
C3_2014,Abobo,CIV,2014-2015,822165,55.61,67.28,47.98,45.74,49.30,7,69.85,58,47.67,40.87,55.01,55.78,47.87,52.74
C4_2014,Abomey Calavi,BEN,2014-2015,708578,60.12,48.04,51.90,41.53,68.39,10,60.11,51,51.86,54.92,67.21,41.42,57.55,54.29
C5_2014,Abu Dhabi,ARE,2014-2015,1138076,76.02,75.86,61.68,67.35,82.71,12,83.28,73,62.08,74.39,71.63,74.15,52.22,70.54
C6_2014,Abu Ghurayb,IRQ,2014-2015,771301,67.87,73.90,73.98,52.97,71.70,11,70.31,66,61.59,55.97,60.84,53.09,74.31,64.87
C7_2014,Abuja,NGA,2014-2015,2300736,68.49,61.61,48.09,40.03,63.10,9,60.25,51,82.12,47.21,35.08,45.36,60.18,54.30
C8_2014,Acapulco De Juarez,MEX,2014-2015,908498,54.23,49.24,51.49,58.34,53.47,8,63.69,51,45.53,63.68,56.52,39.22,63.41,54.46
C9_2014,Accra,GHA,2014-2015,2241692,51.45,30.03,16.42,58.55,54.43,8,52.79,37,47.14,31.12,36.51,42.49,67.98,43.75
C10_2014,Ad Dammam,SAU,2014-2015,1043160,56.13,44.75,50.03,50.59,61.45,9,55.68,53,51.26,40.95,55.25,54.57,54.24,51.88
C11_2014,Adana,TUR,2014-2015,1654388,67.21,69.08,61.23,58.07,70.82,11,52.50,59,78.31,47.29,54.31,62.46,50.48,60.46
C12_2014,Addis Ababa,ETH,2014-2015,3708942,47.14,54.11,38.39,70.31,41.11,6,44.78,41,55.53,48.99,51.55,39.49,23.92,46.82
C13_2014,Adelaide,CCK,2014-2015,1271874,63.60,65.74,52.26,82.34,65.99,10,69.24,61,55.58,56.41,57.66,61.24,83.53,65.00
C14_2014,Aden,YEM,2014-2015,807351,58.04,66.31,53.18,56.50,61.31,9,58.95,55,53.85,48.92,54.76,52.35,82.46,58.86
C15_2014,Agadir,MAR,2014-2015,821640,60.57,52.73,55.58,41.82,60.06,9,56.87,55,64.77,58.46,56.43,53.11,64.33,56.42
C16_2014,Agra,IND,2014-2015,1911642,69.66,50.68,49.53,50.59,56.84,9,61.79,54,90.35,47.83,55.13,51.74,65.35,57.98
C17_2014,Aguascalientes,MEX,2014-2015,999448,50.77,56.02,59.54,58.52,44.24,7,60.45,57,47.63,44.92,58.79,52.40,86.12,56.86
C18_2014,Ahmedabad,IND,2014-2015,6928352,65.05,65.67,27.77,48.59,64.33,10,61.70,55,69.11,52.21,45.82,74.08,36.36,54.56
C19_2014,Ahvaz,IRN,2014-2015,1151171,65.79,33.79,41.34,70.69,63.89,10,71.23,59,62.26,41.51,55.22,64.49,65.15,56.96
